# Demo MCQ bank, read by com.lms.seed.SeedCatalog.
# course code | question | correct answer | wrong answer | wrong answer | wrong answer
# Six questions per course: quiz N uses questions 2N-1 and 2N. Options are shuffled when seeded.

CS-101|Which data type is best suited to store the value 3.75 in C++?|double|int|char|bool
CS-101|What is the output of: int x = 7 / 2; cout << x;|3|3.5|4|Compilation error
CS-101|Which loop is guaranteed to execute its body at least once?|do-while|for|while|None of these
CS-101|What does the break statement do inside a loop?|Exits the loop immediately|Skips to the next iteration|Terminates the program|Restarts the loop
CS-101|What is the index of the first element of an array in C++?|0|1|-1|It depends on the compiler
CS-101|Which keyword is used to return a value from a function?|return|break|exit|yield
CS-103|Which component is known as the brain of the computer?|CPU|RAM|Hard disk|Monitor
CS-103|Which of the following is volatile memory?|RAM|ROM|SSD|Flash drive
CS-103|What does URL stand for?|Uniform Resource Locator|Universal Resource Link|Unified Routing Locator|Uniform Remote Link
CS-103|Which of these is an operating system?|Windows 11|Microsoft Word|Google Chrome|Adobe Photoshop
CS-103|Which spreadsheet function adds a range of cells?|SUM|COUNT|AVERAGE|MAX
CS-103|Phishing is best described as|Tricking users into revealing sensitive information|A type of computer hardware|A method of compressing files|A backup strategy
MT-101|What is the derivative of x^3?|3x^2|x^2|3x|x^4/4
MT-101|What is the limit of (sin x)/x as x approaches 0?|1|0|Infinity|Does not exist
MT-101|What is the integral of 1/x dx?|ln(abs(x)) + C|x^2/2 + C|-1/x^2 + C|e^x + C
MT-101|The derivative of a function at a point gives the|Slope of the tangent line|Area under the curve|Y-intercept|Average value
MT-101|What is the derivative of sin x?|cos x|-cos x|tan x|-sin x
MT-101|The equation x^2 + y^2 = 25 represents a|Circle|Parabola|Hyperbola|Straight line
HU-101|Choose the correct sentence.|She has finished her homework.|She have finished her homework.|She has finish her homework.|She finished her homework yesterday already has.
HU-101|Which word is a synonym of "rapid"?|Quick|Slow|Heavy|Calm
HU-101|Identify the adverb: "He answered the question confidently."|confidently|answered|question|He
HU-101|Which punctuation mark ends a question?|Question mark|Full stop|Comma|Semicolon
HU-101|Choose the correct form: "If I ___ you, I would apologise."|were|was being|am|be
HU-101|The main idea of a paragraph is usually stated in the|Topic sentence|Concluding sentence only|Title of the book|Footnote
HU-103|How many pillars of Islam are there?|Five|Four|Six|Seven
HU-103|In which city was the Holy Prophet (PBUH) born?|Makkah|Madinah|Taif|Jerusalem
