# Demo course catalog, read by com.lms.seed.SeedCatalog.
# code | name | credit hours | kind (REGULAR or PROJECT) | description | CLO statements separated by ";"
# Lines starting with # are ignored.

# ── Shared first year (BS CS, BS SE, BS AI) ──────────────────────────────────
CS-101|Programming Fundamentals|4|REGULAR|Problem solving with a structured programming language (C++): variables, control flow, functions, arrays and strings, with a weekly lab.|Explain basic programming constructs such as variables, data types, operators and expressions;Apply selection and repetition structures to solve computational problems;Develop modular programs using functions, arrays and strings;Debug and test small programs in a development environment
CS-103|Application of Information and Communication Technologies|3|REGULAR|Computer hardware and software basics, the internet, office productivity tools and the social impact of ICT.|Describe the components of a computer system and how they interact;Use office productivity and collaboration tools to prepare documents and presentations;Discuss ethical, legal and social issues arising from the use of ICT
MT-101|Calculus and Analytic Geometry|3|REGULAR|Limits, continuity, differentiation and integration of single-variable functions with applications, and conic sections.|Evaluate limits and determine the continuity of functions;Apply rules of differentiation to rates of change and optimisation problems;Compute definite and indefinite integrals and apply them to areas and volumes
HU-101|Functional English|3|REGULAR|Grammar, reading comprehension, paragraph writing and oral communication for academic and professional settings.|Apply correct grammar and sentence structure in written English;Comprehend and summarise academic texts;Communicate ideas clearly in short presentations and discussions
HU-103|Islamic Studies|2|REGULAR|Fundamental beliefs, worship and ethics in Islam, the Seerah of the Holy Prophet (PBUH) and Islamic social values.|Describe the basic beliefs and pillars of Islam;Explain the main events of the Seerah and their lessons;Discuss the Islamic principles of ethics and social responsibility
CS-102|Object Oriented Programming|4|REGULAR|Classes and objects, encapsulation, inheritance, polymorphism, templates and exception handling in C++, with a weekly lab.|Explain the principles of object-oriented design such as encapsulation and abstraction;Implement classes, constructors and operator overloading in C++;Apply inheritance and polymorphism to build extensible programs;Use templates, file handling and exceptions in medium-sized programs
CS-104|Digital Logic Design|3|REGULAR|Number systems, Boolean algebra, combinational and sequential circuits, and an introduction to hardware description.|Convert between number systems and simplify Boolean expressions;Design combinational circuits such as adders, multiplexers and decoders;Analyse sequential circuits including flip-flops, registers and counters
CS-106|Discrete Structures|3|REGULAR|Logic, proofs, sets, relations, functions, counting, recurrence relations and graphs as the mathematical foundation of computing.|Apply propositional and predicate logic to construct valid arguments;Use proof techniques including induction to prove mathematical statements;Solve counting, recurrence and graph problems arising in computing
HU-102|Expository Writing|3|REGULAR|Academic writing process: planning, drafting, revising and citing sources in expository essays and reports.|Plan and organise ideas for expository essays;Write coherent paragraphs and essays with proper citations;Revise and edit writing for clarity, cohesion and correctness
NS-101|Applied Physics|3|REGULAR|Electrostatics, current electricity, magnetism, semiconductors and optics as applied to computing hardware.|Explain the laws of electrostatics and current electricity;Apply circuit laws to analyse DC circuits;Describe the working of semiconductor devices used in computers
